Student Name, Student Number,Semester:1 Period:1, Room,Semester:1 Period:2, Room,Semester:1 Period:3, Room,Semester:1 Period:4, Room,Semester:2 Period:1, Room,Semester:2 Period:2, Room,Semester:2 Period:3, Room,Semester:2 Period:4, Room,
"Kyla,Lucy",450316689,MDM4UE,1061,SBI4UE,1031,MHF4U6,PB3,PSK4U1,1061,ICS3U6,2038A,MCV4UE,PB3,ENG4UE,2034,EMPTY,Cafeteria,
"Lorianna,Emlynn",498634495,ENG4UE,2034,BOH4M1,PB9,MHF4U6,PB3,HZT4U1,1062,MDM4U1,2025,MCV4UE,PB3,SPH4U1,2044,ICS4UE,2038A,
"Wylma,Eugine",405535587,MDM4UE,1061,SCH4UE,1044,MHF4U6,PB3,SPARE,Cafeteria,PSK4U1,1061,MCV4UE,PB3,ENG4UE,2034,SPARE,Cafeteria,
"Mattie,Cora",465164528,ENG4U1,2010A,SCH4UE,1044,HSB4U1,PB9,MHF4U1,PB3,MCV4U1,PB6,SBI4U1,1055,ENG4U1,2010A,SPARE,Cafeteria,
"Jenilee,Lyndsie",471711565,FSF1D1,1033,ADA1O1,1070,MTH1W1,2010A,HIF1O1,2027,CGC1D1,2009,SNC1D1,1050,PPL1O8,1012,ENG1D1,2035,
"Nollie,Calli",490524265,CHC2D1,2036,MPM2D1,2008,ENG2D1,1034,SNC2D1,1035,ICS2O1,2038,AMI2O1,1069,ADA2O1,1070,CIVCAR,PB11,
"Shalne,Berri",464341242,MTH1W1,1036,PPL1O8,1024A,TIJ1O1,2002A,CGC1D2,PB6,AVI1O1,2004,ENG1D1,2035,FSF1D1,1033,SNC1D2,1044,
"Mary,Junette",443996434,CGC1D1,2009,BTT1O1,2024,ENG1D1,2035,AVI1O1,2004,FSF1D1,1033,SNC1D1,1050,MTH1W1,1036,PPL1O9,1024A,
"Teressa,Meade",426293774,MPM2D1,2007,AWC2O1,2005,SNC2D1,1036,SPARE,Cafeteria,SNC2D1,1035,ADB2O1,1070,ENG2D1,1034,AWJ2O1,2005,
"Fanchette,Harmonie",489672263,CHC2D1,2036,ICS2O1,PB9,SNC2D1,1035,ENG2D1,1034,CIVCAR,2010,AMI2O1,1069,TEJ2O1,1037,MPM2D1,2007,
"Chryste,Gerty",406448968,ENG3U1,PB3,BBB4M1,2027,MCR3U1,PB2,HFC3M1,1014,AVI3M1,2005,BMI3C1,1061,SBI3U1,1031,AWJ2O1,2005,
"Hertha,Helaine",463268078,ADA3M1,1070,COP3X#,2001,MCR3U6,2025,HSP3U1,2024A,SPH3U1,2018,ENG3U1,2008,FSF3U1,PB6,MCR3U6,2025,
"Jillana,Lotti",490573391,ICS4UE,2038A,MDM4U1,2025,ENG4U1,2006,CHY4U1,PB5,SCH4U1,1044,MDM4U1,2025,CPW4U1,PB5,SPARE,Cafeteria,
"Hollie,Dolley",404401006,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,
"Rina,Nertie",433711789,CIVCAR,PB11,SNC2D1,1035,ADA2O1,1070,MPM2D1,2007,ENG2D1,1034,ADB2O1,1070,CHC2D1,2036,AWJ2O1,2005,
"Aila,Meggie",498728654,PAI1O1,2028,ADA1O1,1070,ENG1D1,2035,BTT1O1,2024,CGC1D1,2009,SNC1D7,1065,MTH1W7,1065,FSF1P1,2024A,
"Lorene,Leone",477302542,MCR3U1,2037,PAF3O9,1013,SPH3U1,1044,TGV3M1,1032,SPARE,Cafeteria,ENG3U1,2008,PPL3O9,1024B,SCH3U1,1055,
"Tiphanie,Petronilla",493710866,ENG2D1,1059A,BBI2O7,1065,CHC2D1,2036,FSF2D1,2028,IDC3OE,1065,CIVCAR,PB11,SNC2D2,1044,MPM2D2,PB5,
"Zita,Clareta",469317752,BBI2O1,PB10,HFN2O1,2024A,SNC2D1,1036,MPM2D1,2007,ENG2D1,1059A,CHC2D1,2036,CIVCAR,PB11,TGJ2O1,1032,
"Tamera,Kayley",429849119,TEJ4M1,1032,SCH4UE,1044,MHF4U6,PB3,EMPTY,Cafeteria,SBI4U1,1055,MCV4UE,PB3,HFA4U1,1014,ICS4UE,2038A,
"Paulie,Sabra",461748231,EMPTY,Cafeteria,COP3X9,2001,MCR3U1,PB2,ENG3U1,2009,SCH3U1,1044,MCF3M1,PB5,SPARE,Cafeteria,SBI3U1,1031,
"Sydel,Josey",499523141,ENG2D1,1059A,MPM2D1,2008,CHC2D1,2036,PPL2O9,1024B,ICS2O1,2038,TEJ2O1,1037,SNC2D1,1035,BBI2O1,PB10,
"Alexandra,Anett",491478735,MPM2D1,2008,HFN2O1,1014,CHC2D1,2036,SNC2D1,1035,BBI2O1,PB10,ENG2D1,1059A,FSF2D1,2028,CIVCAR,PB11,
"Astrix,Misha",418536308,MPM2D1,2007,BOH4M1,PB9,ESLEO1,1063,HSP3U1,2024A,MCR3U1,2037,CGG3O1,PB6,CLU3M1,1059,ENG3U1,2009,
"Waneta,Tamma",429197843,ENG1DG,2027,FSF1D1,1033,SNC1DG,2011,AMI1O4,1069,PAI1O1,2028,ICS2OG,2038A,CGC1DG,2026,MTH1WG,2026,
"Shandee,Audrye",462317576,ENG1DG,2027,ADA1O1,1070,FSF1DG,1059,CGC1D1,2010,SNC1DG,2011,FSF1DG,1059,TEJ2O1,1037,MTH1WG,2026,
"Madeleine,Carol-Jean",468936820,MDM4UE,1061,SCH4UE,1044,SPARE,Cafeteria,SPARE,Cafeteria,IDC4U3,PB8,EMPTY,Cafeteria,ENG4UE,2034,ICS4UE,2038A,
"Aviva,Tabatha",431110714,TEJ4M1,1032,BBB4M1,2027,MHF4U1,PB5,SPARE,Cafeteria,MDM4U1,2025,MCV4U1,PB3,ENG4U1,2010A,ICS4U1,2038,
"Neely,Dorris",451041640,ENG4U1,2010A,MCR3U1,PB10,DCO3OC,2028,SPH3U1,1059,SCH3U1,2023,SCH3U1,2023,ENG4U1,2006,ENG3U1,2009,
"Lorilyn,Domeniga",464332832,SPARE,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,
"Kellen,Nona",438200723,SPARE,Cafeteria,ENG4U1,2006,CIA4U1,PB4,CHY4U1,PB5,EMPTY,Cafeteria,DCO3OC,2028,FSF4U1,1060,SPARE,Cafeteria,
"Tiffy,Kalina",487464577,PPL1O9,1024A,SNC1D1,2023,ENG1D1,2035,FSF1D1,1033,AVI1O1,2004,TIJ1O1,2002A,CGC1D1,2010,MTH1W1,2010A,
"Mada,Aigneis",479629062,ENG2D1,1059A,AWC2O1,2005,SNC2P1,1044,CHC2P1,PB9,CIVCAR,2010,MPM2D1,2007,BBI2O1,PB10,AVI2O1,2004,
"Herta,Roxana",452278629,MCR3U6,2025,ENG3U1,2009,CIE3M1,PB6,ICS3U1,2038,SPH3U1,2018,BAF3M1,2024,SBI3U1,1031,SCH3U1,1055,
"Zia,Dasi",483196765,CGC1D1,2009,ADA1O1,1070,FSF1D1,1033,MTH1W1,2010A,ENG1D2,PB5,SNC1D1,1050,PPL1O8,1012,BTT1O1,2024,
"Mariann,Nevsa",418904934,CHC2D1,2036,ICS2O1,PB9,ENG2D1,1034,BBI2O1,PB10,SNC2D1,1035,CIVCAR,PB11,MPM2D1,2008,AWJ2O1,2005,
"Corrianne,Rebekah",472825788,HFA4U1,1014,EMPTY,Cafeteria,HSB4U1,PB9,HZT4U1,1062,HHG4M1,1062,ENG4U1,2006,CPW4U1,PB5,CLN4U1,PB9,
"Orelia,Elfrieda",456681645,PPL1O9,1024A,BTT1O1,2024,MTH1W1,2010A,HIF1O1,2027,FSF1D1,1033,CGC1D1,2010,SNC1D1,2011,ENG1D1,2035,
"Antoinette,Tamera",401507445,ENG4U1,2010A,MHF4U1,PB3,SCH4U1,1044,HSP3U1,2024A,SCH4U1,1044,DCO3OC,2028,ICS4U1,2038,SPH3U1,2023,
"Leola,Myriam",419801752,CLU3M1,1059,SPH3U1,2036,BAF3M1,2024,HSP3U1,2024A,SCH3U1,2023,MCR3U1,2037,ENG3U1,2009,ADA3M1,1070,
"Leticia,Alys",491056858,SPH3U1,1050,MCR3U1,PB10,ENG3U1,2009,SPH3U1,2044,HSP3U1,2024A,SBI3U1,1055,CLU3M1,1059,ADA3M1,1070,
"Letizia,Bella",445790477,PPL4O9,1024B,ENG4U1,2006,SCH4U1,1044,ADB4M1,1070,SPARE,Cafeteria,SPARE,Cafeteria,MCV4U1,PB4,SPH4U1,2044,
"Prudence,Tessa",460507351,SPH4U1,2044,ENG4U1,2007,MHF4U1,PB3,SPARE,Cafeteria,SCH4U1,1044,MDM4U1,2025,MCV4U1,PB4,SPARE,Cafeteria,
"Olimpia,Edin",421853839,ADA3M1,1070,MFM2P1,PB8,SNC2P1,1044,AWL3M1,2005,EMPTY,Cafeteria,GLE3O1,PB2,ENG3U1,2009,MBF3C1,1060,
"Talya,Marti",443800029,MCR3U1,2037,PPL3O9,1024B,SPH3U1,1044,SCH3U1,1050,PAF3O9,1013,HFC3M1,1014,ENG3U1,2009,SBI3U1,1031,
"Angy,Eliza",457734392,EMPTY,Cafeteria,GLE1O1,1063,EMPTY,Cafeteria,EMPTY,Cafeteria,AVI1O1,2004,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,
"Perl,Idell",454875296,HFA4U1,1014,ENG4U1,2006,HHG4M1,1062,CHY4U1,PB5,EMPTY,Cafeteria,ENG4U1,2006,CPW4U1,PB5,EMPTY,Cafeteria,
"Page,Eleanor",434412069,PPL1O9,1024A,ADA1O1,1070,ENG1D1,2035,CGC1D1,2010,SNC1D1,1050,MTH1W1,PB1,TIJ1O1,2002A,FSF1P1,2024A,
"Marie-Jeanne,Rori",418229036,ENG2DG,1063,SNC2DG,2011,TDJ3M1,1037,BBI2O1,PB10,ICS3U6,2038A,MPM2DG,1062,MCR3U6,2025,CHC2DG,2034,
"Britney,Pamella",479965017,HSP3U1,2024A,COP3X#,2001,EMPTY,Cafeteria,ENG3UE,1063,TEJ3M1,1037,MCF3M1,PB5,CLU3M1,1059,SPARE,Cafeteria,
"Debee,Kailey",470343631,HFA4U1,1014,MHF4U1,PB3,MHF4U1,PB5,EMPTY,Cafeteria,SPARE,Cafeteria,SPH4U1,2044,ENG4U1,2006,EMPTY,Cafeteria,
"Zoe,Tommy",498146937,SBI4U1,1055,SCH4U1,2018,SPH4U1,2044,ENG4U1,2006,HFA4U1,1014,SBI4U1,1055,SBI4U1,1055,MCV4U1,PB4,
"Aloysia,Libby",405302241,PPL1O9,1024A,ADA1O1,1070,FSF1D1,1033,SNC1D1,1050,ENG1D1,2035,CGC1D1,2010,MTH1W1,1036,BTT1O1,2024,
"Kylila,Callie",487456450,TIJ1O1,2002A,ENG1DG,1059,FSF1DG,1059,CGC1D1,2010,SNC1DG,2011,PPL1O8,1024B,AVI1O1,2004,MTH1WG,2026,
"Noelani,Nell",444946762,ENG4UE,2034,SPARE,Cafeteria,ICS4U1,2038,CHY4U1,PB5,EMPTY,Cafeteria,EMPTY,Cafeteria,TGV4M1,1032,CLN4U1,PB9,
"Eloisa,Vivianne",489639679,AMI2O1,1069,FSF2D1,2028,ENG2D1,1034,SNC2D1,1035,IDC3OE,1065,CHC2D1,2036,MPM2D1,2008,BBI2O7,1065,
"Kristina,Erin",426224319,MPM2D1,2008,ENG2D1,1034,ESLEO1,1063,SNC1D1,1050,CGC1D1,2009,ENG2D1,1034,FSF3U1,PB6,SNC2D1,1035,
"Jessica,Daniele",439925221,AWQ4M1,2005,TDJ4M1,1032,EMPTY,Cafeteria,MDM4U1,2025,GLE4O1,1060,EMPTY,Cafeteria,ENG4U1,2010A,SPARE,Cafeteria,
"Katlin,Bobbie",418278192,SBI3U1,1031,PPL3O9,1024B,SCH3U1,1044,ENG3U1,2008,MCR3U1,2037,TGV3M1,1032,FSF3U1,PB6,SPARE,Cafeteria,
"Blakeley,Katrinka",419814107,SNC1D1,1050,ADA1O1,1070,ENG1D1,2035,AVI1O1,2004,FSF1D2,PB2,MTH1W1,2010A,CGC1D1,2010,BTT1O1,2024,
"Shani,Shandie",406600674,HFA4U1,1014,SPARE,Cafeteria,MHF4U1,PB3,PSK4U1,1061,MDM4U1,2025,ENG4U1,2006,IDC4U1,PB8,ICS4U1,2038,
"Mary,Dede",428427881,HFA4U1,1014,ENG4U1,2007,IDC4UE,PB8,SPARE,Cafeteria,SBI4U1,1055,SPARE,Cafeteria,HSB4U1,PB9,CLN4U1,PB9,
"Vonny,Madalyn",485957398,MPM2D1,2007,ICS2O1,PB9,MPM2D1,2007,CHC2D1,1061,SNC2D1,1035,TEJ2O1,1037,FSF2D1,2028,ENG2D1,1034,
"Loreen,Dorey",460654738,SBI3U1,1031,EMPTY,Cafeteria,TDJ3M1,1037,SCH3U1,1050,PAF3O9,1013,BMI3C1,1061,MCR3U1,PB6,SPARE,Cafeteria,
"Dorthea,Violette",421071601,BAF3M1,2024,MCR3U1,PB10,AWC3O1,2005,ENG3UE,1063,SBI4U1,1055,ICS3U1,2038,SPH3U1,2018,SCH3U1,1055,
"Petronilla,Clare",416377656,MHF4U1,PB5,SCH4U1,2023,FSF4U1,1060,IDC4U1,PB8,MCV4U1,PB4,SBI4U1,1055,ENG4U1,2006,SPARE,Cafeteria,
"Jenilee,Charline",484577040,SBI4U1,1055,MHF4U1,PB5,FSF4U1,1060,ADB4M1,1070,ADA4M1,1070,EWC4U1,2034,ENG4U1,2010A,CLN4U1,PB9,
"Cicely,Brigitte",465238094,SNC2D1,1035,BBI2O7,1065,CHC2D1,2036,SPH3U1,2044,IDC3OE,1065,ENG2D1,1059A,MCR3U6,2025,MPM2D2,PB5,
"Annamaria,Willette",475402147,ENG2D1,1034,TEJ2O1,1037,HFN2O1,1014,PAF2O9,1013,MPM2D1,2007,ICS3U1,2038,CHC2D1,2037,SNC2D1,1036,
"Elena,Rennie",474030007,IDC4U3,PB8,IDC3O1,PB6,EMPTY,Cafeteria,ENG3C1,PB2,BOH4M1,PB9,BMI3C1,1061,CLU3M1,1059,EMPTY,Cafeteria,
"Daniele,Maryellen",482623294,MHF4U1,PB4,IDC3O1,PB6,SBI3U6,1031,ENG3UE,1063,AVI3M1,2005,TGV3M1,1032,AMI3M1,1069,TDJ3M1,1037,
"Jorie,Sorcha",411622261,BAF3M1,2024,COP3X#,2001,SPARE,Cafeteria,ENG3U1,2009,EMPTY,Cafeteria,SBI3C1,1031,PPL3O9,1024B,MBF3C1,1060,
"Susan,Roxanne",434138593,SCH4U1,2023,BBB4M1,2027,ICS4U1,2038,ENG4U1,2006,MCV4U1,PB4,MDM4U1,2025,SPH4U1,2044,SPARE,Cafeteria,
"Beryl,Amalia",486471932,HSP3U1,2024A,ICS3U6,2038A,ENG3U1,2009,SPH3U1,2044,MDM4U1,2025,BMI3C1,1061,MCR3U6,2025,SCH3U1,1055,
"Valaree,Licha",434916846,CLN4U1,PB9,BAT4M1,1062,IDC4UE,PB8,MHF4U1,PB3,SCH4U1,1044,MCV4U1,PB4,ENG4U1,2010A,SPH4U1,2044,
"Catherine,Isidora",473425971,TEJ4M1,1032,MHF4U1,PB2,SCH4U1,1044,SPARE,Cafeteria,MCV4U1,PB4,SPH4U1,2044,ENG4UE,2034,ICS4U1,2038,
"Jessie,Rozanna",417840353,HSP3U1,2024A,PPL3O9,1024B,TDJ3M1,1037,ICS3U1,2038,CLU3M1,1059,SBI3U1,1055,ENG3U1,2009,MCR3U6,2025,
"Ashlee,Melita",488622350,SPARE,Cafeteria,MCR3U1,PB10,SBI4U1,1055,HFC3M1,1014,SBI3U6,1031,SCH3U1,2023,HSP3U1,2024A,ADA3M1,1070,
"Jeri,Elly",447377080,AVI2O1,2004,SNC2DG,2011,BBI2O1,PB10,SBI3U1,1031,ENG2DG,1063,MPM2DG,1062,HSP3U1,2024A,CHC2DG,2034,
"Sileas,Darbie",432266704,IDC4U3,PB8,SBI4UE,1031,SPH4U1,2044,MHF4U1,PB3,BOH4M1,PB9,MDM4U1,2025,ENG4U1,2006,MCV4U1,PB3,
"Rania,Agneta",475240520,CIVCAR,2010,MFM2P1,PB8,ADA2O1,1070,CHC2D1,2037,SNC2D1,1035,ENG2D1,1034,CHC2D1,2036,AVI2O1,2004,
"Ellette,Elmira",483313875,FSF1O1,1060,CGC1D1,2010,ESLEO1,1063,ENG1D1,2035,AVI1O1,2004,SNC1D7,1065,MTH1W7,1065,PPL1O9,1024A,
"Tamiko,Lenora",458010450,SPH3U1,1050,SPH3U1,2036,ADA2O1,1070,SCH3U1,1050,TEJ3M1,1037,ICS3U1,2038,ENG3U1,2009,DCO3OC,1059,
"Sandy,Margarethe",483399920,SNC1D1,1050,MTH1W1,2010A,ENG1D1,2035,FSF1D1,1033,BTT1O1,2024,CGC1D1,2009,TIJ1O1,2002A,PPL1O9,1024A,
"Myranda,Dorie",415349985,HSP3U1,2024A,ENG4U1,2007,EMPTY,Cafeteria,ADB4M1,1070,GLE4O1,1060,CGG3O1,PB6,ENG4U1,2010A,EMPTY,Cafeteria,
"Daryn,Bessie",422837526,SPH4U1,2044,MHF4U1,PB2,SBI4U1,1055,IDC4U1,PB8,ENG4U1,2006,SPARE,Cafeteria,MCV4U1,PB4,SPH4U1,2044,
"Tressa,Lisette",434462147,PAI1O1,2028,FSF1D1,1033,AVI1O1,2004,SNC1D1,1050,MTH1W1,2010A,ENG1D1,2035,EMPTY,Cafeteria,CGC1D1,2010,
"Leanna,Teddi",422505737,CLN4U1,PB9,MDM4U1,2025,IDC4UE,PB8,ADB4M1,1070,HFA4U1,1014,ENG4U1,2006,HFA4U1,1014,SPARE,Cafeteria,
"Lucie,Leonanie",448663190,BAF3M1,2024,SCH3U1,1055,ENG3U1,2009,ICS3U1,2038,SPH3U1,2018,MCR3U1,2037,SBI3U1,1031,TEJ3M1,2002A,
"Deina,Robbi",438181426,MPM2D1,2008,ENG2D1,1034,SNC2D1,1035,CHC2D1,1061,ICS2O1,2038,CGG3O1,PB6,TEJ2O1,1037,CIVCAR,PB11,
"Anabella,Teddy",492362101,ICS4UE,2038A,SPH3U1,2036,CIE3M1,PB6,ENG3UE,1063,PSK4U1,1061,SCH3U6,2011,HZT4U1,1062,MCR3U6,2025,
"Martha,Bethena",435019225,PAI1O1,2028,ADA1O1,1070,CGC1D1,2010,ENG1D1,2035,FSF1D1,1033,SNC1D1,1050,TIJ1O1,2002A,MTH1W1,2010A,
"Koren,Darsey",456453900,ENG3U1,PB3,BMI3C1,1061,AWC3O1,2005,EMPTY,Cafeteria,AVI3M1,2005,SCH3U1,2023,HFA4U1,1014,MBF3C1,1060,
"Rochella,Gisele",421375325,ICS2O1,2038,MPM2D1,2008,HFN2O1,1014,PPL2O9,1024B,ENG2D1,1034,ENG2D1,1059A,BBI2O1,PB10,SNC2D1,1035,
"Marcile,Verla",454815577,SCH4U1,2023,BOH4M1,PB9,SBI4U1,1055,PSK4U1,1061,SCH4U1,1044,MDM4U1,2025,SBI4U1,1055,ENG4U1,2006,
"Jaine,Betsey",432913806,EMPTY,Cafeteria,MCR3U1,PB10,TDJ3M1,1037,ENG3U1,2009,AVI3M1,2005,CGG3O1,PB6,BAF3M1,2024,ADA3M1,1070,
"Hannie,Annamaria",430333409,CIVCAR,PB11,TEJ2O1,1037,MPM2D1,2007,ENG2D1,1034,ICS2O1,2038,FSF1O1,1060,CHC2D1,2037,SNC2D1,1035,
"Angela,Tildie",432536960,TEJ3M1,1037,ENG3U1,2009,ICS3U1,2038A,TGV3M1,1032,PAF3O9,1013,MCF3M1,PB5,CLU3M1,1059,ENG2D1,1034,
"Tess,Fredra",446361299,MTH1W1,1036,ICS2O1,2038,CGC1D1,2010,AVI1O1,2004,ENG1D2,PB5,SNC1D1,1050,PPL1O8,1012,BTT1O1,2024,
"Fayina,Laverna",492562704,AVI2O1,2004,AWC2O1,2005,CIVCAR,PB11,SNC2D1,1035,ENG2D1,1059A,BBI2O1,PB10,CHC2D1,2037,MPM2D1,2007,
"Teresa,Tiffi",403991641,ENG4U1,2010A,COP3X#,2001,EMPTY,Cafeteria,MDM4U1,2025,ADA4M1,1070,SPARE,Cafeteria,PAF4O9,1013,ENG3U1,2009,
"Felipa,Kellina",436403794,AWQ4M1,2005,EMPTY,Cafeteria,EMPTY,Cafeteria,GLE4O1,1060,EMPTY,Cafeteria,TGV3M1,1032,SPARE,Cafeteria,PAF2O9,1013,
"Frannie,Rhonda",412519628,SBI3U1,1031,ENG3U1,2009,SPH3U1,1044,HFC3M1,1014,SCH3U1,2023,MCF3M1,PB5,HSP3U1,2024A,HPW3C1,PB2,
"Kippy,Maggee",488233287,SCH4U1,2023,BAT4M1,1062,SPARE,Cafeteria,MHF4U1,PB3,SPARE,Cafeteria,MCV4U1,PB4,SPH4U1,2044,ENG4U1,2006,
"Annmaria,Katuscha",480544964,PAI1O1,2028,GLE1O1,1063,SNC1D1,1050,ENG1P1,PB2,MTH1W1,PB1,SNC1D1,1050,TIJ1O1,2002A,FSF1P1,2024A,
"Nessie,Cher",469647263,MHF4U1,PB5,BAT4M1,1062,SCH4U1,2023,ENG4U1,2006,SPARE,Cafeteria,SPH4U1,2044,ICS4U1,2038,MCV4U1,PB3,
"Leda,Berenice",431705561,MCR3U6,2025,BMI3C1,1061,ICS3U1,2038A,ENG3UE,1063,SCH3U1,2023,TGV3M1,1032,MCR3U6,2025,SPH3U1,2023,
"Alikee,Elwira",427347227,ENG2D1,1034,FSF2D1,2028,CHC2D1,2036,MPM2D1,2007,SNC2D1,1035,CHC2D1,2036,TEJ2O1,1037,HFN2O1,1014,
"Samara,Alverta",452705944,PPL4O9,1024B,BOH4M1,PB9,MHF4U1,PB5,IDC4U1,PB8,ENG4U1,2006,BBB4M1,2027,ENG4U1,2010A,CLN4U1,PB9,
"Amandi,Koo",497355200,ENG2DG,1063,CHC2DG,2034,ADA2O1,1070,MPM2D1,2007,CIVCAR,2010,FSF1DG,1059,SNC2DG,2011,AWJ2O1,2005,
"Karyl,Hetty",498809308,MCR3U1,2037,SCH3U1,1055,BAF3M1,2024,AWL3M1,2005,SBI3U6,1031,ENG3U1,2008,FSF3U1,PB6,HPW3C1,PB2,
"Ashla,Elberta",436252264,MCR3U1,2037,PPL3O9,1024B,ENG3U1,2009,TGV3M1,1032,PAF3O9,1013,CGG3O1,PB6,CLU3M1,1059,SPARE,Cafeteria,
"Maurene,Ora",489498950,SNC1D1,1050,FSF1P1,2026,CGC1P1,1061,PPL1O9,1024A,SNC1D1,1050,MTH1W1,2010A,AVI1O1,2004,ENG1D1,2035,
"Nollie,Karoline",408386619,SPH4U1,2044,ENG4U1,2007,SBI4U1,1055,SPARE,Cafeteria,HFA4U1,1014,SPARE,Cafeteria,CPW4U1,PB5,MCV4U1,PB4,
"Averyl,Ivory",464023493,CIVCAR,2010,SNC2DG,2011,BBI2O1,PB10,ICS2OG,2038A,ENG2DG,1063,MPM2DG,1062,FSF2D1,2028,CHC2DG,2034,
"Maressa,Maybelle",405257289,CIVCAR,2010,AWC2O1,2005,SBI3U6,1031,SNC2D1,1035,PPL2O8,1024B,ENG2D1,1034,MPM2D1,2008,HFN2O1,1014,
"Willette,Phylis",461819891,MTH1WG,2026,PPL1O9,1024A,AMI1O1,1069,FSF1DG,1059,ENG1DG,2027,ICS2OG,2038A,CGC1DG,2026,HIF1O1,2027,
"Liza,Katharine",409979929,CLU3M1,1059,ICS3U6,2038A,SBI3U6,1031,ENG3UE,1063,SPH3U1,2018,BMI3C1,1061,CLU3M1,1059,MCR3U6,2025,
"Cindi,Daryn",471136364,SPARE,Cafeteria,BMI3C1,1061,BAF3M1,2024,SPH3U1,2044,ICS3U6,2038A,SCH3U1,2023,MCR3U6,2025,ENG3U1,2008,
"Aleta,Yasmeen",478722292,ENG2D1,1059A,SNC2D1,1035,FSF1D1,1033,HFC3M1,1014,FSF1D1,1033,MPM2D1,2007,CHC2D1,2036,TGJ2O1,1032,
"Hilda,Fernanda",404614241,HSP3U1,2024A,BMI3C1,1061,SCH3U1,1044,SBI3U1,1031,ENG3U1,2008,ICS3U1,2038,MCR3U6,2025,ENG3U1,2009,
"Letta,Anthia",406563911,MHF4U1,PB2,ENG4U1,2006,SBI4U1,1055,IDC4U1,PB8,MCV4U1,PB6,EWC4U1,2034,FSF4U1,1060,SPH4U1,2044,
"Francene,Alaine",430542294,CHC2D1,2036,FSF2D1,2028,ADA2O1,1070,CIVCAR,PB11,PPL2O8,1024B,ENG2D1,1059A,MPM2D1,2008,SNC2D1,1036,
"Cortney,Ralina",400913252,SPARE,Cafeteria,CIVCAR,PB11,SPARE,Cafeteria,AWL3M1,2005,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,MBF3C1,1060,
"Amara,Jewelle",454356885,SNC1D1,1050,FSF1D1,1033,HIF1O1,2027,ENG1D1,2035,BTT1O1,2024,MTH1W1,2010A,CGC1D1,2010,PPL1O9,1024A,
"Aggie,Janessa",417369188,MTH1W1,1036,SNC1D1,2023,PPL1O8,1024B,HIF1O1,2027,FSF1D2,PB2,TIJ1O1,2002A,CGC1D1,2010,ENG1D1,2035,
"Luce,Lynnell",447614504,BAF3M1,2024,MCR3U1,PB10,CIE3M1,PB6,SCH3U1,1050,CLU3M1,1059,HFC3M1,1014,SBI3U1,1031,ENG3U1,2009,
"Risa,Rhianna",423624118,ENG2DG,1063,SNC2DG,2011,MCR3U6,2025,ICS2OG,2038A,BBI2O1,PB10,MPM2DG,1062,TEJ2O1,1037,CHC2DG,2034,
"Shalne,May",447278626,MCR3U1,2037,BMI3C1,1061,SBI3U6,1031,SPH3U1,1059,SCH3U1,2023,ICS3U1,2038,BAF3M1,2024,ENG3U1,2008,
"Brigitta,Lorie",426683873,AVI2O1,2004,FSF2D1,2028,SNC2D1,1035,SNC2D1,1035,PPL2O8,1024B,ENG2D1,1034,MPM2D1,2008,SNC2D1,1036,
"Fanny,Shoshanna",463761195,ENG3U1,PB3,IDC3O1,PB6,DCO3OC,2028,HFC3M1,1014,SPARE,Cafeteria,TGV3M1,1032,HSP3U1,2024A,SPARE,Cafeteria,
"May,Netty",497748260,ENG1D1,2035,MTH1W1,2010A,CGC1D1,2010,SNC1D1,1050,AVI1O1,2004,BTT1O1,1033,FSF1D1,1033,PPL1O9,1024A,
"Jeannine,Wandie",457314256,ENG1D1,2035,CGC1D1,2010,SNC1D1,1050,AVI1O1,2004,MTH1W1,PB1,PPL1O8,1024B,ENG1D1,2035,HIF1O1,2027,
"Leticia,Julienne",468148085,MCR3U6,2025,SNC2D1,1035,MCR3U6,2025,CIVCAR,PB11,IDC3OE,1065,ENG2D1,1059A,FSF2D1,2028,BBI2O7,1065,
"Pauletta,Eugenie",496400643,BBI2O1,PB10,FSF2D1,2028,SNC2D1,1036,ENG2D1,1059A,PPL2O8,1024B,CIVCAR,PB11,CHC2D1,2037,MFM2P1,PB8,
"Loise,Marina",492321230,CIVCAR,PB11,MFM2P1,PB8,SNC2P1,1044,CHC2P1,PB9,ENG2D1,1059A,AWC2O1,2004,ADA2O1,1070,AVI2O1,2004,
"Kai,Annabel",439496362,AWQ4M1,2005,ENG4U1,2006,HSB4U1,PB9,TGV3M1,1032,TDJ4M1,1032,AWC4M1,2005,AVI4M1,2005,SPARE,Cafeteria,
"Sada,Serene",475183307,SNC1P1,1044,FSF1P1,2026,CGC1P1,1061,ENG1P1,PB2,PPL1O9,1012,MTH1W1,2010A,GLE1O1,1063,BTT1O1,2024,
